thresh,helpers,weight,protein,COMBIND,GLIDE,COMBIND+2D,GLIDE+2D
0.25,0,10.0,aa2ar,0.3593936943116369,0.29524917239401616,0.3577103298445464,0.3023766668020134
0.25,0,10.0,abl1,0.2610541159553099,0.3061635082904245,0.26628367960370164,0.3069075419607337
0.25,0,10.0,ace,0.07350235859425275,0.11350291418682971,0.061943103559822216,0.06629052803551314
0.25,0,10.0,aces,0.03111987479514349,0.0649175926416722,0.03124551530085189,0.05145932510387406
0.25,0,10.0,ada17,-0.010301280235543034,0.057961529097745455,-0.018746633835543758,0.022913149849978345
0.25,0,10.0,adrb1,0.3785195017237529,0.10428435320828941,0.3883139589948096,0.11611411156555244
0.25,0,10.0,adrb2,0.2434591127019904,0.08463394709577113,0.25851628248849345,0.12819061037822072
0.25,0,10.0,akt1,0.06297789809441333,0.14039613532232012,0.07379613478711075,0.18017111473238032
0.25,0,10.0,aldr,0.020019619790436146,0.029382318738030728,0.03425111404159775,0.060230439402555604
0.25,0,10.0,andr,0.25848704816153634,0.26586962945490106,0.25803250245793674,0.2598692997050985
0.25,0,10.0,aofb,0.13172610541307622,0.08915630168631741,0.15508081006372326,0.11498160780792363
0.25,0,10.0,bace1,0.13034252600114504,0.12223312873884322,0.12836253795787114,0.08299263165387624
0.25,0,10.0,cah2,0.011169405865366643,0.0017649833572781215,0.05263622863695026,0.14823978294128862
0.25,0,10.0,casp3,0.12227396727462167,0.08121567365664789,0.11412969723765687,0.06695400198633654
0.25,0,10.0,cdk2,0.3238137663442431,0.27378606149812007,0.3281408052019172,0.2771303331257372
0.25,0,10.0,cp2c9,0.015502739147430195,0.01804816904141603,0.03434007576381591,0.05085794744589693
0.25,0,10.0,cp3a4,0.16106389217050637,0.155304138904838,0.14730179065165316,0.12863073438801573
0.25,0,10.0,csf1r,0.11498486862794147,0.15084266021370332,0.12847185366465466,0.09672077747805538
0.25,0,10.0,dhi1,0.10563760117436014,0.1107562158631203,0.12240914198548987,0.15539280460941668
0.25,0,10.0,dpp4,0.22783838260596836,0.30947377784746904,0.25335671462433795,0.36277397545917295
0.25,0,10.0,drd3,0.07126016074203514,0.08021388968902585,0.07853703936707365,0.10071454116066773
0.25,0,10.0,dyr,0.45475031090067103,0.17945886010926906,0.5018675119527358,0.2590086763383157
0.25,0,10.0,egfr,0.13881174199901927,0.09766827838114153,0.14675967279882976,0.10486083076691614
0.25,0,10.0,esr1,0.3213768915652894,0.31055837880080833,0.3054011310238608,0.27604982339585293
0.25,0,10.0,esr2,0.45411126532153895,0.3600054571520028,0.3882300111785323,0.2213116113891914
0.25,0,10.0,fa10,0.4143690874407143,0.41888001512530354,0.4435694334756949,0.4719734741197664
0.25,0,10.0,fgfr1,0.12941687096662396,0.11094402789875174,0.13575558747255997,0.12900707685136426
0.25,0,10.0,fnta,0.10210551640051788,0.14082435534589396,0.09855374374260575,0.12753416483612603
0.25,0,10.0,gcr,0.18851998078634283,0.1308769666845502,0.19572320522042227,0.14930367372360487
0.25,0,10.0,grik1,0.2127815551796343,0.2291969438183334,0.26707704853304387,0.3915116394437686
