pair_name,glide_rmsd,pair_name,glide_rmsd_top_2,glide_rmsd_top_3,glide_rmsd_top_5,glide_rmsd_top_10,glide_rmsd_top_50,glide_rmsd_top_100,min_pose_rmsd,structalign_rmsd,combind_rmsd,lig,struct,protein,pair,mcss,mol_same,type
"('CLTR1', '6RZ5_lig-to-AF_6RZ4')",19.069491175000568,"('CLTR1', '6RZ5_lig-to-AF_6RZ4')",19.069491175000568,19.05146227078905,18.093252672251015,17.271939386876873,14.128507126341125,14.128507126341125,14.128507126341125,1.269,,6RZ5_lig,AF_6RZ4,CLTR1,6RZ5_lig-to-AF_6RZ4,,,AF_dock
"('CLTR1', '6RZ4_lig-to-AF_6RZ4')",11.065442730423092,"('CLTR1', '6RZ4_lig-to-AF_6RZ4')",9.30495347647524,9.30495347647524,9.30495347647524,9.30495347647524,9.30495347647524,9.30495347647524,9.30495347647524,0.86,,6RZ4_lig,AF_6RZ4,CLTR1,6RZ4_lig-to-AF_6RZ4,,,AF_dock
"('PE2R3', '6AK3_lig-to-AF_6AK3')",2.142186731081208,"('PE2R3', '6AK3_lig-to-AF_6AK3')",2.142186731081208,2.142186731081208,1.6508750420689629,1.4336204435932418,1.3289915622713948,1.3289915622713948,1.3289915622713948,1.161,,6AK3_lig,AF_6AK3,PE2R3,6AK3_lig-to-AF_6AK3,,,AF_dock
"('PE2R3', '6M9T_lig-to-AF_6AK3')",3.0529335278823595,"('PE2R3', '6M9T_lig-to-AF_6AK3')",1.9946024816366104,1.9946024816366104,1.830415332674232,1.830415332674232,1.723618186035644,1.723618186035644,1.723618186035644,0.653,,6M9T_lig,AF_6AK3,PE2R3,6M9T_lig-to-AF_6AK3,,,AF_dock
"('SUCR1', '6Z10_lig-to-AF_6RNK')",11.44077435905306,"('SUCR1', '6Z10_lig-to-AF_6RNK')",10.905517683637983,10.905517683637983,10.905517683637983,10.905517683637983,10.905517683637983,10.905517683637983,10.905517683637983,1.704,,6Z10_lig,AF_6RNK,SUCR1,6Z10_lig-to-AF_6RNK,,,AF_dock
"('SUCR1', '6RNK_lig-to-AF_6RNK')",11.250108695978644,"('SUCR1', '6RNK_lig-to-AF_6RNK')",11.250108695978644,11.250108695978644,11.250108695978644,11.250108695978644,11.250108695978644,11.250108695978644,11.155879916100826,1.608,,6RNK_lig,AF_6RNK,SUCR1,6RNK_lig-to-AF_6RNK,,,AF_dock
"('PD2R2', '6D27_lig-to-AF_6D26')",6.681955002587154,"('PD2R2', '6D27_lig-to-AF_6D26')",3.2911894939516118,3.2911894939516118,1.7893813401143526,1.7893813401143526,1.4610892360743029,1.4610892360743029,1.4610892360743029,1.328,,6D27_lig,AF_6D26,PD2R2,6D27_lig-to-AF_6D26,,,AF_dock
"('PD2R2', '6D26_lig-to-AF_6D26')",4.316834983762155,"('PD2R2', '6D26_lig-to-AF_6D26')",2.3932354689480158,2.3932354689480158,2.3932354689480158,2.3932354689480158,2.3932354689480158,2.3932354689480158,2.3932354689480158,1.298,,6D26_lig,AF_6D26,PD2R2,6D26_lig-to-AF_6D26,,,AF_dock
"('DRD1', '7CRH_lig-to-AF_7CKW')",5.47787506153932,"('DRD1', '7CRH_lig-to-AF_7CKW')",3.9906826926783667,3.9906826926783667,3.9906826926783667,3.9906826926783667,1.4844514520093726,1.4844514520093726,1.4844514520093726,1.163,,7CRH_lig,AF_7CKW,DRD1,7CRH_lig-to-AF_7CKW,,,AF_dock
"('DRD1', '7LJC_lig-to-AF_7CKW')",3.417260282717957,"('DRD1', '7LJC_lig-to-AF_7CKW')",3.417260282717957,0.783747848016601,0.783747848016601,0.783747848016601,0.783747848016601,0.783747848016601,0.783747848016601,0.879,,7LJC_lig,AF_7CKW,DRD1,7LJC_lig-to-AF_7CKW,,,AF_dock
